source_id,source_name,source_type,iso3_country,original_inventory_sector,source_start_time,source_end_time,lat,lon,geometry_ref,gas,emissions_quantity,temporal_granularity,source_created_date,source_modified_date,country_start_time,country_end_time,country_emissions_quantity,country_emissions_quantity_units,country_temporal_granularity,country_created_date,country_modified_date,confidence_source_id,confidence_capacity,confidence_capacity_factor,confidence_activity,confidence_co2_emissions_factor,confidence_ch4_emissions_factor,confidence_n2o_emissions_factor,confidence_co2_emissions,confidence_ch4_emissions,confidence_n2o_emissions,confidence_total_co2e_20yrgwp,confidence_created_date,confidence_modified_date
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2019-01-01 00:00:00,2019-12-31 00:00:00,71310910.72,tonnes,annual,2023-10-03 21:10:36.874502,2023-10-27 13:11:53.421808,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2019-01-01 00:00:00,2019-12-31 00:00:00,71310910.72,tonnes,annual,2023-10-03 21:10:36.874502,2023-10-27 13:11:53.421808,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2019-01-01 00:00:00,2019-12-31 00:00:00,2546818.24,tonnes,annual,2023-10-03 21:10:36.874486,2023-10-27 13:11:53.421808,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2019-01-01 00:00:00,2019-12-31 00:00:00,2546818.24,tonnes,annual,2023-10-03 21:10:36.874486,2023-10-27 13:11:53.421808,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2018-01-01 00:00:00,2018-12-31 00:00:00,198808393.6,tonnes,annual,2023-10-03 21:10:36.720464,2023-10-27 13:11:53.363622,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2018-01-01 00:00:00,2018-12-31 00:00:00,198808393.6,tonnes,annual,2023-10-03 21:10:36.720464,2023-10-27 13:11:53.363622,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2018-01-01 00:00:00,2018-12-31 00:00:00,66269464.52,tonnes,annual,2023-10-03 21:10:36.720457,2023-10-27 13:11:53.363622,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2018-01-01 00:00:00,2018-12-31 00:00:00,66269464.52,tonnes,annual,2023-10-03 21:10:36.720457,2023-10-27 13:11:53.363622,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2018-01-01 00:00:00,2018-12-31 00:00:00,2366766.59,tonnes,annual,2023-10-03 21:10:36.720441,2023-10-27 13:11:53.363622,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2018-01-01 00:00:00,2018-12-31 00:00:00,2366766.59,tonnes,annual,2023-10-03 21:10:36.720441,2023-10-27 13:11:53.363622,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2016-01-01 00:00:00,2016-12-31 00:00:00,172878313,tonnes,annual,2023-10-03 21:10:36.389497,2023-10-27 13:11:53.185217,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2016-01-01 00:00:00,2016-12-31 00:00:00,172878313,tonnes,annual,2023-10-03 21:10:36.389497,2023-10-27 13:11:53.185217,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2016-01-01 00:00:00,2016-12-31 00:00:00,57626104.34,tonnes,annual,2023-10-03 21:10:36.389489,2023-10-27 13:11:53.185217,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2016-01-01 00:00:00,2016-12-31 00:00:00,57626104.34,tonnes,annual,2023-10-03 21:10:36.389489,2023-10-27 13:11:53.185217,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2016-01-01 00:00:00,2016-12-31 00:00:00,2058075.155,tonnes,annual,2023-10-03 21:10:36.389474,2023-10-27 13:11:53.185217,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2016-01-01 00:00:00,2016-12-31 00:00:00,2058075.155,tonnes,annual,2023-10-03 21:10:36.389474,2023-10-27 13:11:53.185217,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2015-01-01 00:00:00,2015-12-31 00:00:00,216707834.3,tonnes,annual,2023-10-03 21:10:36.236403,2023-10-27 13:11:51.019797,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2015-01-01 00:00:00,2015-12-31 00:00:00,216707834.3,tonnes,annual,2023-10-03 21:10:36.236403,2023-10-27 13:11:51.019797,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2015-01-01 00:00:00,2015-12-31 00:00:00,72235944.76,tonnes,annual,2023-10-03 21:10:36.236395,2023-10-27 13:11:51.019797,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2015-01-01 00:00:00,2015-12-31 00:00:00,72235944.76,tonnes,annual,2023-10-03 21:10:36.236395,2023-10-27 13:11:51.019797,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2015-01-01 00:00:00,2015-12-31 00:00:00,2579855.17,tonnes,annual,2023-10-03 21:10:36.23638,2023-10-27 13:11:51.019797,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2015-01-01 00:00:00,2015-12-31 00:00:00,2579855.17,tonnes,annual,2023-10-03 21:10:36.23638,2023-10-27 13:11:51.019797,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
21458521,Sumatera Utara,NaN,IDN,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,2.1908112125603196,99.05331159982192,gadm_IDN.32_1,ch4,84491.8416323973,annual,2023-10-19 00:00:00,2023-11-15 21:08:09.181028,2021-01-01 00:00:00,2021-12-31 00:00:00,233474983.91017577,tonnes,annual,2023-10-03 21:10:37.274898,2023-11-16 14:06:48.316136,21458521,NaN,NaN,high,NaN,medium,NaN,NaN,medium,NaN,high,2023-10-24 00:00:00,NaN
